Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Parks,LABORER,Association of Municipal Employees (AME-Blue Collar),29679.0,0.0,972.38,30763.8,2022/06/27 00:00:00+00,0.0,2022/06/12 00:00:00+00
Probation,PSYCHIATRIC SOCIAL WORKER,Association of Municipal Employees (AME-White Collar),52716.03,0.0,0.0,52828.45,2021/06/14 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,2895.0,0.0,0.0,2895.0,2022/05/23 00:00:00+00,0.0,2022/08/25 00:00:00+00
Social Services,OFFICE ASSISTANT,Temp,8396.0,0.0,0.0,8396.0,2021/10/12 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2396.25,0.0,0.0,2396.25,2022/05/01 00:00:00+00,0.0,
Public Works,DIR SWR DIST ACTIVATION,Association of Municipal Employees (AME-White Collar),82467.0,0.0,0.0,82579.42,2022/05/02 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3654.38,0.0,0.0,3654.38,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3302.5,0.0,0.0,3302.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,601.88,0.0,0.0,601.88,2022/05/01 00:00:00+00,0.0,
Law,ASSISTANT COUNTY ATTY,Management,76773.6,0.0,0.0,77811.02,2019/02/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,836.88,0.0,0.0,836.88,2022/05/01 00:00:00+00,0.0,
District Attorney,DEPUTY BUREAU CHIEF,Management,182114.4,2600.0,0.0,201236.82,1992/08/17 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER I,Association of Municipal Employees (AME-Blue Collar),52794.0,1250.0,0.0,54965.42,2013/08/19 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),4310.47,0.0,0.0,4422.89,2022/08/25 00:00:00+00,0.0,
Law,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),22135.2,0.0,0.0,22135.2,2014/01/27 00:00:00+00,0.0,2014/01/24 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,1920.0,0.0,0.0,1920.0,2022/07/05 00:00:00+00,0.0,2021/08/18 00:00:00+00
Law,WORKERS' COMP CLAIMS EXAMINER,Association of Municipal Employees (AME-White Collar),57095.4,0.0,0.0,57856.82,2014/08/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3546.01,0.0,0.0,3546.01,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,923.13,0.0,0.0,923.13,2022/05/01 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),158568.1,10925.0,17422.49,210543.77,2003/10/20 00:00:00+00,0.0,
Health Services,JAIL MEDICAL ATTENDANT,Association of Municipal Employees (AME-White Collar),3743.6,0.0,0.0,24083.6,2006/12/18 00:00:00+00,0.0,2022/06/08 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1177.5,0.0,0.0,1177.5,2022/05/01 00:00:00+00,0.0,
Law,JR ASST CNTY ATTORNEY,Management,22154.0,0.0,0.0,22266.42,2022/08/15 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,3250.0,131458.63,259923.01,2002/11/04 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,22549.42,131401.46,2016/10/03 00:00:00+00,0.0,
Economic Develop & Planning,ENVIRONMENTAL PROJECTS COORD,Association of Municipal Employees (AME-White Collar),97183.79,1250.0,0.0,99656.21,2008/02/25 00:00:00+00,0.0,
Probation,PROBATION OFFICER TRAINEE,Probation Officers Association (POA),45350.67,0.0,0.0,45463.09,2020/01/06 00:00:00+00,0.0,
Health Services,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),55341.2,1750.0,0.0,59974.62,2003/06/09 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,16293.9,0.0,0.0,16293.9,2022/07/11 00:00:00+00,0.0,2022/05/17 00:00:00+00
Public Works,BRIDGE MAINT MECHANIC II,Association of Municipal Employees (AME-Blue Collar),56958.3,1250.0,11817.76,73351.48,2008/05/27 00:00:00+00,0.0,
Social Services,CASEWORKER (SPANISH SPKG),Association of Municipal Employees (AME-White Collar),71749.0,1250.0,2418.52,76342.94,2009/09/21 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,1755.0,0.0,0.0,1755.0,2021/07/06 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1005.26,0.0,0.0,1005.26,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,9775.0,20631.19,205995.69,2005/09/12 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62671.8,0.0,24003.02,103012.8,2019/10/21 00:00:00+00,0.0,
Police,DETECTIVE LIEUTENANT (POLICE),Superior Officers Association (SOA),202418.8,16675.0,23251.72,256940.0,1993/03/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1122.5,0.0,0.0,1122.5,2022/05/01 00:00:00+00,0.0,
Retiree,DEPUTY SHERIFF II,Deputy Sheriffs PBA (DSPBA),0.0,0.0,0.0,488.9,1998/12/17 00:00:00+00,488.9,2021/08/30 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),180660.52,13800.0,83540.34,289664.32,2000/09/18 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),100542.3,14375.0,62807.49,489664.84,2000/09/18 00:00:00+00,272356.4,2022/08/08 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,9775.0,14204.96,199569.46,2005/09/12 00:00:00+00,0.0,
Public Works,WASTEWATER TRTMNT PLNT HELPER,Association of Municipal Employees (AME-Blue Collar),31247.22,0.0,2965.4,34400.04,2021/12/13 00:00:00+00,0.0,
Police,MAINTENANCE MECHANIC I,Association of Municipal Employees (AME-White Collar),32391.4,0.0,4516.08,37269.9,2021/12/06 00:00:00+00,0.0,
Parks,CONSTRUCTION EQUIP OPER,Association of Municipal Employees (AME-Blue Collar),44054.4,0.0,5503.36,50425.18,2017/06/01 00:00:00+00,0.0,
Parks,PARK ATTENDANT II (PT),Temp,20700.44,0.0,0.0,20700.44,2023/02/12 00:00:00+00,0.0,2022/08/27 00:00:00+00
Public Works,LABORER,Association of Municipal Employees (AME-Blue Collar),11980.0,0.0,1329.38,13309.38,2021/07/12 00:00:00+00,0.0,2022/05/13 00:00:00+00
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),54092.4,0.0,1248.76,70400.96,2021/03/29 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),154173.4,12650.0,28927.82,217182.62,2000/09/18 00:00:00+00,0.0,
District Attorney,ASST DISTRICT ATTY,Management,69779.2,0.0,0.0,79091.62,2020/10/13 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1012.76,0.0,0.0,1012.76,2022/05/01 00:00:00+00,0.0,
Probation,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),41814.11,0.0,151.65,42558.18,2016/09/21 00:00:00+00,0.0,
Health Services,DRUG COUNSELOR,Association of Municipal Employees (AME-White Collar),72930.81,1250.0,0.0,79499.23,2009/02/02 00:00:00+00,0.0,
Social Services,OFFICE SYSTEMS ANALYST II,Association of Municipal Employees (AME-White Collar),83700.81,1750.0,295.63,90040.86,2003/10/06 00:00:00+00,0.0,
Police,DETENTION ATTENDANT,Association of Municipal Employees (AME-White Collar),44699.2,0.0,6833.37,55969.12,2017/03/27 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),99588.93,1950.0,39411.23,149484.99,2011/04/25 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),181833.5,15525.0,17428.41,241761.59,1995/12/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1557.76,0.0,0.0,1557.76,2022/05/01 00:00:00+00,0.0,
Audit & Control,AUDITOR,Association of Municipal Employees (AME-White Collar),49120.31,0.0,3.4,49236.13,2021/10/25 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST I,Association of Municipal Employees (AME-White Collar),62001.9,1250.0,1107.49,65149.81,2014/06/09 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,1448.0,0.0,0.0,1448.0,2022/06/17 00:00:00+00,0.0,2022/10/10 00:00:00+00
Health Services,SPECIAL EDUCATION COORD,Association of Municipal Employees (AME-White Collar),71636.6,0.0,2655.25,75212.27,2015/05/20 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1298.76,0.0,0.0,1298.76,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),42720.56,1250.0,0.0,47377.98,2008/05/19 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,Probation Officers Association (POA),99801.63,1750.0,0.0,102251.63,2003/12/29 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),54092.4,0.0,3577.74,72729.94,2021/03/29 00:00:00+00,0.0,
Public Works,MAINTENANCE MECHANIC III,Association of Municipal Employees (AME-Blue Collar),63659.6,1750.0,33.78,68735.8,2007/05/21 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),18039.87,2000.0,329.91,24317.31,1995/08/30 00:00:00+00,0.0,
Public Works,OPER CREW CHF(WASTEWTR TRTMNT),Association of Municipal Employees (AME-Blue Collar),60328.61,0.0,7588.04,68743.07,2016/01/05 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,14950.0,34698.72,218614.22,1996/10/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,3250.0,61469.12,190434.58,2001/09/03 00:00:00+00,0.0,
County Clerk,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),44351.4,0.0,0.0,44966.82,2015/11/30 00:00:00+00,0.0,
Sheriff,AUTO MECHANIC III,Association of Municipal Employees (AME-Blue Collar),0.0,0.0,0.0,1430.86,2018/08/13 00:00:00+00,859.62,2021/07/31 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),151222.58,12075.0,34805.57,219534.55,2001/06/04 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3122.5,0.0,0.0,3122.5,2022/05/01 00:00:00+00,0.0,
District Attorney,DISTRICT ATTORNEY OPERATN AIDE,Association of Municipal Employees (AME-White Collar),21371.99,2400.0,0.0,23771.99,1993/07/19 00:00:00+00,0.0,2022/05/19 00:00:00+00
Public Works,ADMINISTRATOR II,Association of Municipal Employees (AME-White Collar),85610.81,2250.0,0.0,92295.23,1998/12/14 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,4365.0,0.0,0.0,4365.0,2022/05/10 00:00:00+00,0.0,2022/08/04 00:00:00+00
Sheriff,CORRECTION OFFICER III,Correction Officers Association (COA),142906.33,2750.0,74171.3,243341.69,2006/01/30 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,856.88,0.0,0.0,856.88,2022/05/01 00:00:00+00,0.0,
Police,EVIDENCE RECOVERY TOW OPERATOR,Association of Municipal Employees (AME-Blue Collar),46235.2,0.0,8575.16,59192.02,2017/11/20 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,17825.0,82983.34,269773.84,1995/03/13 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),162959.7,16675.0,27047.98,230577.66,1993/03/29 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,3910.75,0.0,0.0,3910.75,2021/09/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,4832.5,0.0,0.0,4832.5,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9584.11,0.0,1470.32,12091.35,2022/09/19 00:00:00+00,0.0,
Police,ASST COMM OF POL (STRATEGIC INITIATIVES),Management,148071.48,0.0,0.0,147924.55,2022/03/28 00:00:00+00,0.0,
Board Of Elections,ASSISTANT ELECTION CLERK 5,Board of Elections,52637.98,0.0,9058.91,62469.31,2019/01/28 00:00:00+00,0.0,
Economic Develop & Planning,ECON DEV SUSTAINABILITY DIR,Management,146986.5,1250.0,0.0,153289.02,2012/05/14 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,268.0,0.0,0.0,268.0,2021/11/20 00:00:00+00,0.0,
Parks,PARK RANGER I (SEASONAL),Temp,4042.5,0.0,0.0,4042.5,2022/12/05 00:00:00+00,0.0,2022/11/20 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),157086.0,9200.0,49180.39,239005.59,2006/09/11 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,15900.0,0.0,270.0,16170.0,2022/11/24 00:00:00+00,0.0,2022/11/09 00:00:00+00
Civil Service,EXAMINER III (PT),Temp,954.75,0.0,0.0,954.75,2017/10/14 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),157086.0,12075.0,31176.58,223876.78,2002/04/22 00:00:00+00,0.0,
Police,MATERIEL CONTROL CLERK I,Association of Municipal Employees (AME-White Collar),1200.0,0.0,0.0,1200.0,2022/12/12 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),1858.89,0.0,0.0,1948.89,2021/04/30 00:00:00+00,90.0,2022/01/23 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2679.65,0.0,0.0,2679.65,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2298.13,0.0,0.0,2298.13,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),103686.7,4600.0,24811.88,140846.43,2014/12/15 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,626.88,0.0,0.0,626.88,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,939.82,0.0,0.0,939.82,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),97863.9,4025.0,2483.46,111790.48,2015/09/14 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,800.0,0.0,0.0,800.0,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,349.06,53356.77,2021/12/06 00:00:00+00,0.0,2021/08/27 00:00:00+00
Information Technology Service,GEOGRAPHIC INFO SYSTEMS COORD,Association of Municipal Employees (AME-White Collar),8823.6,0.0,0.0,41242.71,1994/01/03 00:00:00+00,26432.99,2022/01/20 00:00:00+00
Public Works,HWY LABOR CREW LEADER,Association of Municipal Employees (AME-Blue Collar),63552.8,1250.0,20475.58,86938.8,2014/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER IV,Correction Officers Association (COA),166554.13,2750.0,23027.19,227923.16,2003/11/03 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,16371.81,131847.85,2016/10/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3599.38,0.0,0.0,3599.38,2022/05/01 00:00:00+00,0.0,
Health Services,REGISTERED NURSE,Association of Municipal Employees (AME-White Collar),56793.59,0.0,5508.71,63914.72,2021/01/19 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),23578.73,0.0,3645.15,30154.78,2022/05/16 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),43063.13,0.0,9392.39,57061.22,2021/04/12 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,8820.0,0.0,0.0,8820.0,2022/06/20 00:00:00+00,0.0,2022/11/10 00:00:00+00
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),27780.05,0.0,178.65,29769.35,2011/05/04 00:00:00+00,0.0,
Public Works,LABORER,Association of Municipal Employees (AME-Blue Collar),0.0,0.0,0.0,1476.32,2019/06/17 00:00:00+00,1476.32,2021/12/15 00:00:00+00
Public Works,CUSTODIAL WORKER I,Association of Municipal Employees (AME-Blue Collar),52794.0,2250.0,4172.06,62211.48,2002/07/22 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),59901.0,1750.0,2815.56,67622.98,2007/04/30 00:00:00+00,0.0,
Public Works,WASTWATR TREATMT PLNT OP(2),Association of Municipal Employees (AME-Blue Collar),47298.41,0.0,23365.0,72189.83,2016/12/19 00:00:00+00,0.0,
Health Services,PHARMACIST I,Association of Municipal Employees (AME-White Collar),98439.07,0.0,0.0,98551.49,2021/07/12 00:00:00+00,0.0,
Social Services,SECURITY GUARD,Association of Municipal Employees (AME-Blue Collar),49707.31,1250.0,0.0,53163.65,2007/04/04 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),12090.04,0.0,89.72,13792.02,2014/10/15 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH FELLOW I,Association of Municipal Employees (AME-White Collar),21300.2,0.0,0.0,21412.62,2022/06/21 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,1244.77,54252.48,2021/12/06 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1444.64,0.0,0.0,1444.64,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9584.11,0.0,1597.57,12218.6,2022/09/19 00:00:00+00,0.0,
Law,SR ASSISTANT COUNTY ATTY,Management,104002.02,0.0,0.0,105516.44,2018/09/10 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,922.5,0.0,0.0,922.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1041.88,0.0,0.0,1041.88,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),154173.4,15525.0,59087.91,250217.71,1995/10/30 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,896.25,0.0,0.0,896.25,2022/09/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),376.69,0.0,0.0,376.69,2022/09/12 00:00:00+00,0.0,2022/09/13 00:00:00+00
Health Services,PUBL HLTH SANITARIAN TRAINEE,Association of Municipal Employees (AME-White Collar),5286.01,0.0,0.0,5286.01,2021/11/28 00:00:00+00,0.0,2022/02/14 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,2750.0,42469.76,166804.35,2004/09/13 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),19620.01,0.0,289.33,21375.26,2015/10/16 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),157287.5,8625.0,17175.81,206930.31,2007/12/26 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,Probation Officers Association (POA),99800.2,2250.0,0.0,102750.2,1999/09/07 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER I,Association of Municipal Employees (AME-Blue Collar),52794.0,1750.0,32840.86,90446.28,2003/04/30 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),98078.22,4025.0,8272.76,129834.1,2015/09/14 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM III,Association of Municipal Employees (AME-White Collar),90693.19,2600.0,20030.06,117976.67,1992/05/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1014.01,0.0,0.0,1014.01,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12650.0,49747.82,231363.32,2003/10/20 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),50301.0,17825.0,8247.08,372216.96,2002/04/22 00:00:00+00,247813.51,2022/04/17 00:00:00+00
Social Services,OFFICE ASSISTANT,Temp,3780.0,0.0,0.0,3780.0,2022/09/06 00:00:00+00,0.0,
Public Works,LABORATORY TECHNICIAN (PW),Association of Municipal Employees (AME-White Collar),63177.0,2600.0,31161.03,100553.45,1984/09/24 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),14437.53,0.0,107.47,16389.61,2011/05/04 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,605.0,0.0,0.0,605.0,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),154173.4,16675.0,33272.68,225552.48,1993/12/06 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2100.0,0.0,0.0,2100.0,2022/07/05 00:00:00+00,0.0,2021/08/14 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,1518.75,0.0,0.0,1518.75,2022/07/05 00:00:00+00,0.0,
County Clerk,SR SECURITY GUARD,Association of Municipal Employees (AME-Blue Collar),12154.5,-550.0,2062.38,17142.68,2022/10/17 00:00:00+00,73.93,2021/10/20 00:00:00+00
Police,LIEUTENANT (POLICE),Superior Officers Association (SOA),192775.9,21550.0,24213.87,266998.11,1986/07/14 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),55201.4,0.0,2973.8,81983.58,2019/10/21 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),63526.8,0.0,15259.28,95156.16,2019/09/09 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM II,Association of Municipal Employees (AME-White Collar),76344.41,1750.0,0.0,82029.83,2007/06/11 00:00:00+00,0.0,
Legislature,ADMINISTRATOR I,Association of Municipal Employees (AME-White Collar),77529.6,2250.0,0.22,83835.24,2001/09/17 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9593.61,0.0,1665.76,12296.29,2022/09/19 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),92199.89,1250.0,193.2,94343.09,2009/11/09 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,4250.0,97472.13,223419.59,1989/10/30 00:00:00+00,0.0,
Public Works,MAINTENANCE MECHANIC II,Association of Municipal Employees (AME-Blue Collar),21802.6,0.0,895.56,22698.16,2018/09/10 00:00:00+00,0.0,2022/08/03 00:00:00+00
Audit & Control,SENIOR ACCOUNTANT,Association of Municipal Employees (AME-White Collar),79065.71,0.0,7325.08,87444.21,2013/10/21 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,Probation Officers Association (POA),99798.78,2250.0,1548.66,104297.44,2002/09/16 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1988.75,0.0,0.0,1988.75,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1932.5,0.0,0.0,1932.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,646.01,0.0,0.0,646.01,2022/05/01 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,536.0,0.0,0.0,536.0,2004/01/17 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,626.25,0.0,0.0,626.25,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,861.25,0.0,0.0,861.25,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2895.0,0.0,0.0,2895.0,2022/07/05 00:00:00+00,0.0,
Public Works,MAP DRAFTER III,Association of Municipal Employees (AME-White Collar),90693.2,2400.0,0.0,97746.62,1994/05/31 00:00:00+00,0.0,
Probation,SECRETARIAL ASSISTANT,Association of Municipal Employees (AME-White Collar),69690.01,2600.0,0.0,75892.43,1974/05/06 00:00:00+00,0.0,
Public Works,AUTO EQUIPMENT OPERATOR,Association of Municipal Employees (AME-Blue Collar),52378.0,2250.0,6995.2,64716.62,2002/01/07 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),167839.9,9775.0,31514.72,233611.02,2005/09/12 00:00:00+00,0.0,
Health Services,HEALTH PROGRAM ANALYST II,Association of Municipal Employees (AME-White Collar),87001.98,2400.0,16067.69,110033.09,1996/12/30 00:00:00+00,0.0,
Economic Develop & Planning,PRINCIPAL PLANNER,Association of Municipal Employees (AME-White Collar),86463.39,0.0,2496.96,90125.77,2018/10/29 00:00:00+00,0.0,
Economic Develop & Planning,MAINTENANCE MECHANIC III,Association of Municipal Employees (AME-Blue Collar),38788.9,0.0,0.0,39151.32,2019/07/15 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER I,Association of Municipal Employees (AME-Blue Collar),8400.0,0.0,453.75,8853.75,2022/09/19 00:00:00+00,0.0,
Sheriff,ADMINISTRATIVE ASSISTANT,Association of Municipal Employees (AME-White Collar),72939.2,2600.0,12253.21,91735.83,1978/10/10 00:00:00+00,0.0,
Public Works,TRAFFIC ENGINEER II,Association of Municipal Employees (AME-White Collar),102533.4,2250.0,1143.2,111114.02,2000/05/30 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62356.8,0.0,2636.08,82532.96,2019/09/09 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1468.75,0.0,0.0,1468.75,2022/05/01 00:00:00+00,0.0,
Public Works,MAINTENANCE MECHANIC III,Association of Municipal Employees (AME-Blue Collar),53821.0,1750.0,0.0,56563.42,2013/08/19 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),0.0,200.0,0.0,16787.89,2007/12/31 00:00:00+00,79.49,2021/08/26 00:00:00+00
Sheriff,DEPUTY SHERIFF I (INVEST),Deputy Sheriffs PBA (DSPBA),113306.63,2750.0,42683.41,172227.78,2000/08/07 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,909.38,0.0,0.0,909.38,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),78612.3,0.0,20321.09,116252.78,2017/10/03 00:00:00+00,0.0,
